Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,608.500000,618.000000,607.549988,617.299988,617.299988,11585602
2022-12-06,614.750000,619.799988,607.799988,608.950012,608.950012,12996244
2022-12-07,610.849976,612.900024,604.500000,607.049988,607.049988,7613892
2022-12-08,609.750000,613.799988,607.150024,611.650024,611.650024,10020015
2022-12-09,614.400024,618.000000,609.099976,616.500000,616.500000,11202267
2022-12-12,614.799988,618.700012,611.000000,613.049988,613.049988,9285187
2022-12-13,613.500000,617.400024,612.500000,616.750000,616.750000,7455415
2022-12-14,618.500000,626.750000,617.500000,625.500000,625.500000,14010673
2022-12-15,625.549988,629.549988,614.299988,615.950012,615.950012,10622271
2022-12-16,612.000000,615.599976,602.099976,603.349976,603.349976,9435071
2022-12-19,604.000000,609.500000,603.000000,604.450012,604.450012,8322012
2022-12-20,603.000000,606.500000,599.549988,604.450012,604.450012,6753785
2022-12-21,605.900024,609.150024,589.599976,593.400024,593.400024,9217253
2022-12-22,597.000000,599.000000,587.549988,593.400024,593.400024,8740149
2022-12-23,590.000000,590.700012,571.500000,574.000000,574.000000,13047046
2022-12-26,574.000000,601.700012,570.700012,597.099976,597.099976,13201587
2022-12-27,600.400024,603.099976,593.299988,601.900024,601.900024,9638618
2022-12-28,600.900024,607.000000,598.549988,601.049988,601.049988,7988631
2022-12-29,600.000000,618.000000,597.150024,611.799988,611.799988,20130392
2022-12-30,615.250000,620.549988,611.349976,613.700012,613.700012,13052895
2023-01-02,614.950012,619.200012,611.200012,612.200012,612.200012,6726084
2023-01-03,614.500000,616.599976,610.000000,612.400024,612.400024,6818062
2023-01-04,611.849976,614.950012,604.000000,605.200012,605.200012,7011191
2023-01-05,607.000000,611.599976,601.950012,605.099976,605.099976,8241475
2023-01-06,607.400024,607.450012,597.000000,600.650024,600.650024,7972036
2023-01-09,605.000000,609.000000,600.099976,607.700012,607.700012,8878905
2023-01-10,608.450012,609.000000,590.599976,595.150024,595.150024,10622660
2023-01-11,596.450012,599.500000,592.250000,596.700012,596.700012,7419630
2023-01-12,597.900024,597.900024,590.099976,594.900024,594.900024,8183715
2023-01-13,597.900024,602.900024,593.650024,600.099976,600.099976,7877610
2023-01-16,603.000000,606.099976,600.599976,603.000000,603.000000,5483191
2023-01-17,603.000000,606.000000,586.049988,592.950012,592.950012,13461999
2023-01-18,595.900024,597.150024,587.599976,591.450012,591.450012,11538075
2023-01-19,591.000000,591.750000,587.549988,589.849976,589.849976,7475688
2023-01-20,593.799988,596.599976,590.799988,592.200012,592.200012,6750607
2023-01-23,598.500000,601.750000,592.950012,600.450012,600.450012,6604469
2023-01-24,603.500000,604.599976,593.049988,594.349976,594.349976,7609623
2023-01-25,595.849976,595.849976,567.400024,568.700012,568.700012,25686294
2023-01-27,568.000000,568.549988,532.250000,539.950012,539.950012,40163464
2023-01-30,536.000000,554.349976,525.200012,538.200012,538.200012,40797825
2023-01-31,545.000000,557.000000,537.849976,553.500000,553.500000,21911943
2023-02-01,561.400024,565.000000,499.350006,527.349976,527.349976,38218810
2023-02-02,520.200012,532.650024,502.500000,528.099976,528.099976,39287056
2023-02-03,536.000000,545.950012,519.150024,544.200012,544.200012,32317232
2023-02-06,558.799988,558.799988,536.549988,545.400024,545.400024,25338586
2023-02-07,548.000000,551.400024,541.049988,547.099976,547.099976,16195947
2023-02-08,550.000000,554.500000,545.500000,549.750000,549.750000,15502847
2023-02-09,552.000000,552.000000,542.799988,550.799988,550.799988,15061047
2023-02-10,546.500000,557.250000,546.500000,553.049988,553.049988,13824475
2023-02-13,554.000000,556.900024,533.299988,537.500000,537.500000,18488732
2023-02-14,539.950012,544.599976,530.750000,540.849976,540.849976,18559909
2023-02-15,540.000000,544.650024,536.799988,542.250000,542.250000,12796579
2023-02-16,546.849976,546.849976,538.500000,540.099976,540.099976,12767016
2023-02-17,538.500000,539.650024,527.750000,531.000000,531.000000,14192008
2023-02-20,532.000000,533.950012,522.150024,525.150024,525.150024,12570032
2023-02-21,527.099976,528.950012,522.400024,523.450012,523.450012,10223218
2023-02-22,520.750000,521.900024,512.500000,516.349976,516.349976,14763050
2023-02-23,516.950012,524.000000,511.350006,521.000000,521.000000,15535085
2023-02-24,524.200012,527.500000,517.599976,521.049988,521.049988,12253035
2023-02-27,521.099976,529.799988,519.000000,527.700012,527.700012,11048799
2023-02-28,527.250000,528.450012,521.049988,522.799988,522.799988,15768010
2023-03-01,523.250000,537.400024,523.099976,536.700012,536.700012,13510198
2023-03-02,535.950012,539.900024,532.500000,533.750000,533.750000,10376913
2023-03-03,542.000000,564.299988,541.750000,561.200012,561.200012,27656538
2023-03-06,564.900024,567.900024,559.000000,561.700012,561.700012,16162268
2023-03-08,560.000000,565.500000,556.450012,564.799988,564.799988,12637578
2023-03-09,564.750000,565.750000,558.000000,558.900024,558.900024,8993423
2023-03-10,553.099976,554.950012,545.000000,547.349976,547.349976,11522371
2023-03-13,547.000000,553.150024,528.450012,530.000000,530.000000,14373729
2023-03-14,527.650024,532.799988,520.000000,525.400024,525.400024,14750800
2023-03-15,529.799988,532.000000,515.549988,517.549988,517.549988,11282329
2023-03-16,518.400024,529.349976,514.299988,524.500000,524.500000,20040008
2023-03-17,528.650024,531.599976,520.099976,529.799988,529.799988,18787379
2023-03-20,526.599976,526.599976,515.000000,519.200012,519.200012,14275315
2023-03-21,522.000000,523.450012,516.450012,521.849976,521.849976,29485180
2023-03-22,522.200012,527.000000,520.099976,521.549988,521.549988,11619538
2023-03-23,519.400024,521.000000,511.500000,512.750000,512.750000,22097792
2023-03-24,514.500000,514.950012,503.450012,505.350006,505.350006,14416984
2023-03-27,507.000000,514.150024,501.549988,510.149994,510.149994,15674218
2023-03-28,511.450012,511.750000,503.850006,508.100006,508.100006,15833599
2023-03-29,509.000000,518.000000,506.299988,516.500000,516.500000,24203789
2023-03-31,520.650024,524.900024,519.349976,523.750000,523.750000,17356345
2023-04-03,524.750000,528.500000,522.099976,526.750000,526.750000,14210949
2023-04-05,527.000000,527.599976,519.049988,523.000000,523.000000,13574801
2023-04-06,524.000000,533.700012,521.650024,527.650024,527.650024,25125879
2023-04-10,529.250000,530.400024,524.400024,526.299988,526.299988,17335453
2023-04-11,530.849976,535.700012,527.150024,532.099976,532.099976,26414406
2023-04-12,533.200012,534.000000,526.000000,528.200012,528.200012,21292441
2023-04-13,529.299988,534.250000,527.150024,532.950012,532.950012,28597560
2023-04-17,528.000000,545.000000,528.000000,544.000000,544.000000,32476990
2023-04-18,545.349976,548.500000,540.500000,545.849976,545.849976,22283456
2023-04-19,544.000000,547.500000,538.250000,540.299988,540.299988,21156372
2023-04-20,541.200012,545.450012,536.650024,544.799988,544.799988,25588577
2023-04-21,545.000000,546.400024,539.700012,543.150024,543.150024,22599418
2023-04-24,543.799988,555.549988,543.500000,554.599976,554.599976,23335611
2023-04-25,555.000000,567.900024,555.000000,561.799988,561.799988,38142390
2023-04-26,562.000000,567.000000,556.450012,566.349976,566.349976,23143882
2023-04-27,565.000000,567.400024,561.099976,564.750000,564.750000,17845169
2023-04-28,567.799988,580.450012,565.500000,578.299988,578.299988,16183423
2023-05-02,580.000000,580.849976,573.150024,575.299988,575.299988,13667511
2023-05-03,570.650024,575.000000,569.000000,570.500000,570.500000,9699527
2023-05-04,570.200012,580.000000,568.500000,577.150024,577.150024,6344371
